[2026-05-29T13:51:14.629+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-05-29T13:51:14.899+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-05-29T13:44:27.202707+00:00 [queued]>
[2026-05-29T13:51:14.950+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio manual__2026-05-29T13:44:27.202707+00:00 [queued]>
[2026-05-29T13:51:14.951+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-05-29T13:51:15.011+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-05-29 13:44:27.202707+00:00
[2026-05-29T13:51:15.317+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'manual__2026-05-29T13:44:27.202707+00:00', '--job-id', '229', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmp_2jtfs60']
[2026-05-29T13:51:15.349+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=55938) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-05-29T13:51:15.422+0000] {standard_task_runner.py:91} INFO - Job 229: Subtask download_minio
[2026-05-29T13:51:15.423+0000] {standard_task_runner.py:64} INFO - Started process 55950 to run task
[2026-05-29T13:51:16.403+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio manual__2026-05-29T13:44:27.202707+00:00 [running]> on host 0a790aba60c9
[2026-05-29T13:51:18.365+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-05-29T13:44:27.202707+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-05-29T13:44:27.202707+00:00'
[2026-05-29T13:51:18.437+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-05-29T13:51:30.771+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277487.json -> /tmp/minio_downloads/1776277487.json
[2026-05-29T13:51:30.817+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277502.json -> /tmp/minio_downloads/1776277502.json
[2026-05-29T13:51:30.867+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277516.json -> /tmp/minio_downloads/1776277516.json
[2026-05-29T13:51:30.910+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277531.json -> /tmp/minio_downloads/1776277531.json
[2026-05-29T13:51:30.936+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1776277559.json -> /tmp/minio_downloads/1776277559.json
